,event,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
1888.745,,2,2,4,None,1,"[17.70424112721426, 21.059384656205342, 0.0]",69.71759796142578,None,5,"[61.86286522779948, 18.817621202335243, 0.0]",74.9885025024414,teleoperation,1,"[43.03574086120212, 18.624804744154385, 2.6117662249056606]",11.968000411987305,None,2,"[0.8408656169989739, 2.9916350775248532, 0.7083765250588754]",14.744000434875488
1895.795,,2,2,4,None,1,"[17.704238190028192, 21.059402444055635, 0.0]",69.57759857177734,None,5,"[61.86198225152299, 18.816831915521597, 0.0]",74.89849853515625,teleoperation,1,"[43.27672704527334, 18.09698096297083, 2.629175577693347]",11.968000411987305,None,2,"[0.8404097255033429, 2.99081035240026, 0.7083411312733641]",14.744000434875488
1902.145,,2,2,4,None,1,"[17.704253524396364, 21.05943326960948, 0.0]",69.4375991821289,None,5,"[61.86142330547497, 18.816308125096157, 0.0]",74.80850219726562,teleoperation,1,"[43.21177687721363, 19.18501524027294, 2.392376339748162]",11.968000411987305,None,2,"[0.8400744145415528, 2.99024808545748, 0.7082999815159772]",14.744000434875488
1908.15,,2,2,4,None,1,"[17.70425443217696, 21.059449794442866, 0.0]",69.4375991821289,None,5,"[61.86067008060814, 18.81565536017677, 0.0]",74.80850219726562,teleoperation,1,"[43.16378638951417, 19.00334050712461, 2.4490483015695035]",11.968000411987305,None,2,"[0.8397317998008208, 2.9895773766527864, 0.7082483998018887]",14.744000434875488
1915.48,,2,2,4,None,1,"[17.70425066748564, 21.059467946716126, 0.0]",69.29759979248047,None,5,"[61.86009924953015, 18.81511081052443, 0.0]",74.71849822998047,teleoperation,1,"[43.162582372954724, 18.992513400420208, 2.452107150311831]",11.968000411987305,None,2,"[0.8394778886495928, 2.9889900472809035, 0.7082781791529198]",14.744000434875488
1921.995,,2,2,4,None,1,"[17.704263876276585, 21.059500299029846, 0.0]",69.15760040283203,None,5,"[61.859574360594884, 18.814625915378656, 0.0]",74.62850189208984,teleoperation,1,"[43.161664653229124, 18.984474070364328, 2.454564364355389]",11.968000411987305,None,2,"[0.8390961225759347, 2.988163795592164, 0.7082612487217003]",14.744000434875488
1928.515,,2,2,4,None,1,"[17.704264767485075, 21.0595161086344, 0.0]",69.15760040283203,None,5,"[61.8586975377934, 18.813844922319575, 0.0]",74.62850189208984,teleoperation,1,"[43.16080077398943, 18.974473605395694, 2.4575567899499076]",11.968000411987305,None,2,"[0.8391476049312958, 2.987565916731341, 0.708167272675845]",14.744000434875488
1935.485,,2,2,4,None,1,"[17.70426201343452, 21.059534151108384, 0.0]",69.0176010131836,None,5,"[61.857897125864554, 18.813065357018964, 0.0]",74.53849792480469,teleoperation,1,"[43.16240036055354, 18.97599972813855, 2.4577587362428845]",11.968000411987305,None,2,"[0.8392227720234274, 2.987023888607165, 0.7081977122168677]",14.744000434875488
1943.01,,2,2,4,None,1,"[17.70427425954981, 21.05956582148333, 0.0]",68.87760162353516,None,5,"[61.85687456873199, 18.812046481417163, 0.0]",74.44850158691406,teleoperation,1,"[43.17429999456496, 19.078853129272467, 2.423914857921874]",11.968000411987305,None,2,"[0.8393762827381883, 2.9863468785605702, 0.7081970484918568]",14.744000434875488
1950.53,,2,2,4,None,1,"[17.704270198450015, 21.059584176201106, 0.0]",68.87760162353516,None,5,"[61.855891854502325, 18.811059712036844, 0.0]",74.44850158691406,teleoperation,1,"[43.21689564486669, 19.47346305147852, 2.3208858072438043]",11.968000411987305,None,2,"[0.8391461478451654, 2.985622940126066, 0.7081735773896825]",14.744000434875488
