,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery
790.775,,,1,2,0,return to base,3,"[2.6173661836824156, 1.0413589995313361, 0.0]",68.90640258789062,approach,0,"[0.9949165847761893, 1.0099381635059226, 0.6572184214228782]",86.57689666748047
790.805,end_rb,pioneer3at_1,1,2,0,None,3,"[2.6173661836824156, 1.0413589995313361, 0.0]",68.90640258789062,approach,0,"[0.9949231264315419, 1.0100001400829848, 0.6572434719083573]",86.57689666748047
791.845,off_vs,pioneer3at_1,1,2,0,None,3,"[2.617299374737225, 1.0409662554700274, 0.0]",68.26570129394531,approach,0,"[0.9948236044484472, 1.009972380895962, 0.6571775583208156]",85.68689727783203
804.705,,,1,2,0,None,3,"[2.616416404561654, 1.0360224552389552, 0.0]",68.26570129394531,approach,0,"[0.9949260551459382, 1.0101436391034373, 0.6572186691367935]",84.7968978881836
818.235,,,1,2,0,None,3,"[2.615359691573456, 1.0306003521624671, 0.0]",68.26570129394531,approach,0,"[0.9948867355696698, 1.0104411992620261, 0.6572172004425454]",83.91490173339844
831.025,,,1,2,0,None,3,"[2.6142055468762533, 1.0252010912521485, 0.0]",68.26570129394531,approach,0,"[0.9948045515200015, 1.010796521542276, 0.6571400539973994]",82.13490295410156
844.27,,,1,2,0,None,3,"[2.6159694800060183, 1.0172312780573154, 0.0]",68.26570129394531,approach,0,"[0.9949248971792911, 1.0110863170186735, 0.657151991344814]",81.24490356445312
856.28,,,1,2,0,None,3,"[2.6198377196810205, 1.0098091037885066, 0.0]",68.26570129394531,approach,0,"[0.9948812306046972, 1.0113980318911815, 0.6572126669124886]",80.36289978027344
869.06,,,1,2,0,None,3,"[2.6226112317154593, 1.0050201816402276, 0.0]",68.26570129394531,approach,0,"[0.9948871815190045, 1.0119294910970646, 0.6572328342826611]",79.472900390625
881.23,,,1,2,0,None,3,"[2.6241978489332776, 1.0003166569396658, 0.0]",68.26570129394531,approach,0,"[0.9950123276863175, 1.0120983713944782, 0.6571348749492592]",77.70890045166016
893.53,,,1,2,0,None,3,"[2.623906095615069, 0.9911816795678067, 0.0]",68.26570129394531,approach,0,"[0.9949152610529763, 1.0124501336853204, 0.6572109296710607]",76.81890106201172
905.915,,,1,2,0,None,3,"[2.6193548991019275, 0.9837042636141747, 0.0]",68.26570129394531,approach,0,"[0.9948095531050861, 1.012742746180463, 0.6571685806026468]",75.92890167236328
918.645,,,1,2,0,None,3,"[2.619971402798547, 0.9788483114104476, 0.0]",68.26570129394531,approach,0,"[0.9949130122932388, 1.0130283638876154, 0.6570199493479716]",75.0468978881836
931.19,,,1,2,0,None,3,"[2.623623851086343, 0.9747424769408907, 0.0]",68.26570129394531,approach,0,"[0.9949698629177063, 1.013254680422479, 0.657212930342354]",73.26689910888672
933.415,uav_er_app,UAV_1,1,2,0,None,3,"[2.62384877344365, 0.9744196895019531, 0.0]",68.26570129394531,None,0,"[0.9949400055788409, 1.0132334627785482, 0.6571572208026788]",73.26689910888672
934.165,uav_req_assist,UAV_1,1,2,0,None,3,"[2.624109681843217, 0.9741400955122306, 0.0]",68.26570129394531,None,0,"[0.9949337734305198, 1.0133596021373803, 0.6572108404480282]",73.26689910888672
946.545,,,1,2,0,None,3,"[2.6265237220285043, 0.9719504525542726, 0.0]",68.26570129394531,None,0,"[0.9949242227017372, 1.013588214312615, 0.6571423848867026]",73.08889770507812
959.33,,,1,2,0,None,3,"[2.6287906205286946, 0.9697046921085294, 0.0]",68.26570129394531,None,0,"[0.9947761064685495, 1.0139530897630267, 0.6571520948329104]",72.9989013671875
971.445,,,1,2,0,None,3,"[2.6299406783335684, 0.9671225909838957, 0.0]",68.26570129394531,None,0,"[0.9948193778189455, 1.0140422223362535, 0.6572097500664691]",72.81890106201172
983.665,,,1,2,0,None,3,"[2.632550364392709, 0.9628114863550439, 0.0]",68.26570129394531,None,0,"[0.9948180474947492, 1.0142399018116355, 0.6572246481597012]",72.72889709472656
996.08,,,1,2,0,None,3,"[2.6355703002336033, 0.9595878913328454, 0.0]",68.26570129394531,None,0,"[0.9948181175843863, 1.0144499289471682, 0.6572249564095366]",72.63890075683594
1008.255,,,1,2,0,None,3,"[2.6362101879136346, 0.9540025544978025, 0.0]",68.26570129394531,None,0,"[0.9947076642750203, 1.014495668704887, 0.6571411859820835]",72.54889678955078
1017.215,,,1,2,0,None,3,"[2.6378828968017722, 0.95044345447155, 0.0]",68.26570129394531,None,0,"[0.9948545467374854, 1.0146163110851663, 0.6571475693235683]",72.45890045166016
